,Dataset,N,K,Rep,Model,maxgenomelen,maxcohortlen,X_bounds,valsize,mutprob,init_prop,gramfile,n_num_optimisations,prop_consts,Time,Rsq_train,Rsq_test,Size,N_vars_used,N_consts_used,Equation
54,659_sleuth_ex1714,47,7,2,Magpie,50,15,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,135.94664454460144,0.8972363477641263,0.6509561949563278,40,5,5,((10681.8920 - (sqrt(X[1]) * (-2.9389 * ((X[5] - ((-1.0165 - sqrt(X[6])) / -0.2554)) * X[2])))) - (-2568.7738 / X[4]))
55,659_sleuth_ex1714,47,7,2,Magpie,50,15,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,161.60668802261353,0.9010583525520426,0.793480608620525,33,2,5,(7079.7581 - ((-259.8836 * X[5]) * (sqrt(sqrt(X[0])) - (20.0808 / (-272.1683 - (-1085.0568 / sqrt(X[5])))))))
56,659_sleuth_ex1714,47,7,2,Magpie,50,15,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,143.30159044265747,0.5556892941760933,0.3961732931384902,7,1,1,(4179.6088 * sqrt(X[5]))
57,659_sleuth_ex1714,47,7,1,Magpie,50,15,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,156.82467603683472,0.8957375967330333,0.8164381138788949,46,4,4,(((((X[5] * X[2]) + 1727.4905) * ((X[5] / 4.7774) + sqrt(sqrt(sqrt(X[0]))))) + 5284.6335) + (-3136.8654 / ((X[0] * sqrt(X[6])) - X[5])))
58,659_sleuth_ex1714,47,7,2,Magpie,30,8,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,123.92050457000732,0.8741964553804112,0.8970094159711944,30,2,3,(29.6595 * abs(((-16.2394 * (-16.2394 - X[5])) + ((-0.0000 * exp(X[5])) - X[1]))))
59,659_sleuth_ex1714,47,7,0,Magpie,50,15,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,178.84022903442383,0.9103630323148724,0.9366060740003334,35,3,4,(((-2.1390 * X[4]) + ((X[5] * (-318.9571 / (X[0] - X[5]))) + 2511.4572)) * (2.1555 + sqrt(X[5])))
60,659_sleuth_ex1714,47,7,1,Magpie,50,8,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,95.43296813964844,0.5401546743811052,0.4032478264905377,8,1,1,(4083.0325 * sqrt(X[5]))
61,659_sleuth_ex1714,47,7,0,Magpie,30,15,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,71.16755485534668,0.879180809771118,0.7771849702619138,26,2,4,(46312.0168 / ((X[5] * -0.2911) + (((X[5] + -11.0678) / X[1]) + 6.7505)))
62,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,70.6970899105072,0.5556892938295317,0.3961732939811231,8,1,1,(4179.6088 * sqrt(X[5]))
63,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,92.27169489860536,0.6976476625695722,0.8715630086666136,10,1,2,((431.5961 * X[5]) + 7614.0473)
64,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,129.26630473136902,0.8264250402092785,0.8397830602744549,24,3,3,(7114.6072 + (abs(((-91193.0679 * X[5]) / (X[2] - 189.9970))) + X[0]))
65,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,102.12299108505248,0.8923450142628396,0.8234509313983529,30,3,3,(((sqrt(X[0]) + ((exp(X[2]) / 22793702166648872353102229929984.0000) + X[5])) * (449.1257 - X[5])) + 5267.8438)
66,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,70.82506012916565,0.5556892939496563,0.3961732936890509,8,1,1,(4179.6088 * sqrt(X[5]))
67,659_sleuth_ex1714,47,7,0,Magpie,30,15,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,101.97971510887146,0.8459476979914269,0.863201600728215,24,2,3,(((108678148.6528 + exp(X[5])) * (0.0000 * X[5])) + (X[0] + 7356.5772))
68,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,108.11132097244264,0.8894108943540577,0.8680690509094995,30,3,3,((X[5] * (((-1313.7399 / (X[0] - X[5])) + X[0]) + (X[2] - -469.2513))) - -7666.1766)
69,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,94.77657651901244,0.8708063585073216,0.8620578581879419,30,3,3,((-6506.0059 * (abs(abs((X[5] * abs(sqrt(X[0]))))) / (-102.8798 + X[2]))) - -7375.7619)
70,659_sleuth_ex1714,47,7,1,Magpie,50,8,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,155.89827847480774,0.9015800179236132,0.856051969593772,48,4,5,((X[5] * exp(5.8780)) + (8026.9382 + (((-1720.0198 * X[0]) / (X[2] + (X[5] - 95.4154))) + (-86.4603 * (X[1] / sqrt(sqrt(X[5])))))))
71,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,168.85636019706726,0.9095519801820866,0.1318338546097319,46,3,4,(((exp(sqrt(abs((X[5] + X[6])))) + (0.6748 - 45.4475)) / ((X[5] + -14.6824) * 0.0003)) - (abs(X[1]) * (X[1] / 0.6748)))
72,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,106.24085092544556,0.5401546736935805,0.4032478263638911,8,1,1,sqrt((16671154.7738 * X[5]))
